"Occupation"
2
1
NA
8
NA
NA
4
4
2
NA
NA
1
NA
NA
8
NA
NA
2
NA
NA
NA
NA
NA
NA
NA
NA
10
2
5
NA
10
8
10
NA
5
5
2
5
NA
NA
8
NA
11
NA
NA
4
2
NA
4
NA
12
8
5
NA
NA
10
2
NA
2
NA
5
5
5
2
4
5
11
8
8
NA
11
2
NA
2
NA
2
NA
2
4
1
10
9
NA
NA
7
2
NA
NA
2
1
NA
8
1
NA
14
8
NA
NA
1
3
NA
NA
NA
NA
4
4
NA
NA
8
2
3
1
NA
NA
NA
2
1
10
NA
5
2
NA
NA
4
10
2
2
NA
2
NA
2
NA
NA
NA
NA
NA
NA
NA
13
2
NA
10
2
NA
2
NA
2
NA
2
NA
NA
11
11
2
NA
NA
8
NA
1
13
2
NA
NA
NA
2
NA
NA
5
2
NA
NA
NA
2
NA
2
2
NA
NA
2
NA
11
8
4
5
NA
2
3
NA
1
NA
1
NA
4
NA
NA
8
NA
NA
NA
2
2
5
NA
8
10
5
8
2
NA
2
NA
12
8
NA
NA
12
NA
2
13
NA
NA
1
NA
5
NA
2
5
1
2
11
NA
2
4
1
NA
NA
10
NA
NA
8
NA
NA
7
NA
NA
NA
NA
5
NA
2
8
5
5
12
NA
NA
NA
NA
NA
NA
2
NA
2
10
NA
5
NA
2
NA
NA
5
2
2
NA
2
8
4
10
5
8
9
NA
2
NA
5
5
2
8
NA
1
2
NA
4
1
NA
NA
NA
NA
NA
NA
NA
2
8
NA
2
NA
2
2
NA
NA
8
NA
9
5
5
2
NA
8
2
2
8
NA
4
NA
7
NA
NA
NA
1
1
5
2
8
10
2
3
5
NA
NA
NA
10
NA
2
4
10
8
NA
2
8
5
1
1
2
1
NA
2
NA
8
2
NA
NA
2
10
NA
NA
NA
10
NA
8
NA
2
2
NA
NA
1
NA
NA
5
5
NA
NA
8
3
NA
NA
2
8
NA
13
10
NA
5
2
4
NA
1
1
NA
2
11
5
NA
2
NA
2
5
3
NA
1
8
NA
NA
NA
NA
5
2
NA
12
2
2
10
2
5
1
2
13
NA
2
2
2
9
NA
5
5
NA
8
8
11
10
10
NA
NA
NA
4
NA
NA
10
2
13
NA
NA
1
5
NA
8
NA
NA
1
NA
10
2
NA
1
4
NA
10
NA
3
NA
5
NA
8
4
5
NA
NA
NA
5
NA
NA
8
5
1
NA
1
5
5
4
1
4
NA
2
NA
NA
5
13
5
2
2
11
7
2
NA
1
4
14
7
10
2
1
NA
7
NA
NA
4
NA
NA
2
1
1
13
1
1
NA
8
8
NA
NA
NA
1
NA
NA
4
4
NA
2
NA
8
11
1
NA
8
NA
NA
12
NA
NA
NA
1
9
2
NA
NA
NA
2
NA
2
NA
NA
NA
9
1
11
8
NA
1
NA
NA
1
5
1
NA
2
NA
NA
NA
5
NA
NA
NA
2
NA
NA
NA
NA
NA
NA
3
8
8
2
2
NA
NA
1
NA
NA
1
NA
10
1
NA
NA
10
NA
NA
11
2
NA
2
NA
NA
NA
10
NA
NA
9
NA
NA
2
NA
4
1
2
5
2
10
5
2
NA
NA
NA
5
10
5
5
NA
2
NA
10
NA
2
8
NA
NA
NA
1
4
NA
5
2
2
NA
NA
