2000 Democratic,2000 Republican,2004 Democratic,2004 Republican
49.63157894736842,49.59848484848485,47.984962406015036,49.30825242718446
16.702226654664155,16.063611617357985,17.750356339719644,15.729143835409678
18.0,18.0,18.0,18.0
48.0,48.0,48.0,50.0
89.0,93.0,90.0,86.0
589.0,528.0,399.0,412.0
