"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,19,1,2,1,1,NA,3,2,2,1,NA,8,5,2,0,0,125,1,2,2,4,4,1,81,1,230,2,1,NA,NA,NA,NA,1,2,0,1,2,4,3,3,3,4,2,NA,NA,NA,NA,7,2,2,2,5,NA,5,2,NA,2,4,3,3,3,1,2,21
1990,75,7,5,2,1,2,3,2,2,2,3,1,1,2,0,0,125,1,1,5,NA,NA,6,15,3,220,11,2,NA,NA,NA,NA,NA,NA,46,5,4,3,1,1,3,1,5,NA,NA,NA,NA,5,1,NA,NA,5,NA,0,8,NA,2,1,1,5,1,3,1,85
1990,79,7,5,2,1,3,3,2,2,NA,6,7,4,2,0,0,131,1,1,1,4,4,1,70,6,220,NA,1,NA,NA,NA,NA,1,2,17,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,2,2,21
1990,36,3,3,2,1,3,3,2,2,3,3,1,1,1,0,3,133,1,1,1,1,1,3,10,3,220,10,1,NA,NA,NA,NA,1,1,10,2,2,2,4,4,2,3,5,NA,1,NA,NA,7,2,2,2,5,NA,5,8,NA,3,2,8,4,3,1,2,21
1990,80,7,5,2,2,1,3,3,1,1,3,5,3,2,0,0,144,1,2,5,1,1,4,50,3,249,6,2,NA,NA,NA,NA,NA,NA,90,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,1,2,1,14
1990,59,5,4,2,2,2,3,3,1,1,3,6,2,2,1,0,144,1,2,4,1,1,4,60,3,304,8,2,NA,NA,NA,NA,NA,NA,15,2,0,8,8,8,8,8,8,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,2,4,4,3,8,8,2,14
1990,38,3,3,2,2,2,3,3,1,3,2,1,1,2,1,1,144,1,2,2,1,1,3,10,2,129,5,2,NA,NA,NA,NA,NA,NA,38,3,2,1,3,4,5,1,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,1,4,1,4,3,1,1,14
1990,89,7,6,2,2,1,3,3,1,1,5,5,3,2,1,0,144,1,2,5,0,NA,6,50,5,149,9,2,NA,NA,NA,NA,NA,NA,90,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,8,2,2,14
1990,31,2,2,2,2,4,2,2,2,NA,2,1,1,2,1,1,146,1,1,1,3,3,3,10,2,149,5,1,NA,NA,NA,NA,NA,NA,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,2,4,NA,NA,NA,NA,NA,3,3,1,12
1990,66,6,5,1,1,3,2,2,2,3,3,5,3,2,0,0,121,1,1,1,4,4,1,50,3,110,10,1,NA,NA,NA,NA,2,2,30,2,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,5,NA,7,2,NA,NA,NA,NA,NA,3,1,1,12
