"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,64,5,4,2,1,2,1,2,2,2,3,5,3,2,1,0,146,1,1,1,1,1,3,50,3,135,11,1,NA,NA,NA,NA,1,1,28,4,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,12
1990,68,6,5,2,1,2,1,2,2,NA,3,5,3,2,1,0,131,1,2,3,4,4,1,51,3,20,11,2,NA,NA,NA,NA,NA,NA,90,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,1,2,1,12
1990,70,6,5,1,1,3,2,1,2,4,1,5,3,2,3,0,125,1,1,1,4,4,1,51,1,400,3,1,NA,NA,NA,NA,NA,2,24,1,2,2,1,2,2,2,5,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,4,2,2,3,3,2,2,12
1990,67,6,5,2,1,3,2,1,2,3,2,5,3,1,0,0,111,1,1,1,4,4,2,50,2,230,5,1,NA,NA,NA,NA,1,2,90,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,5,NA,7,2,NA,NA,NA,NA,NA,1,2,1,12
1990,81,7,6,1,1,2,2,1,2,3,2,5,3,2,3,0,112,1,1,1,4,4,1,50,2,400,4,2,NA,NA,NA,NA,NA,NA,21,4,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,1,1,1,NA,7,2,NA,NA,NA,NA,NA,1,2,1,12
1990,72,6,5,2,1,3,3,2,2,3,1,5,3,2,3,0,123,5,1,5,4,4,1,50,1,400,1,1,NA,NA,NA,NA,2,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,1,NA,7,8,NA,NA,NA,NA,NA,3,2,1,12
1990,29,2,2,2,1,2,2,2,2,4,6,7,4,1,1,3,123,1,1,1,4,4,1,70,2,250,NA,1,NA,NA,NA,NA,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,2,4,NA,NA,NA,NA,NA,3,2,2,12
1990,36,3,3,2,2,4,2,1,2,4,1,1,1,1,1,0,114,1,1,2,4,4,1,10,1,120,2,1,NA,NA,NA,NA,1,1,8,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,3,2,NA,NA,NA,NA,NA,1,3,1,12
1990,25,2,2,2,1,2,2,1,2,3,3,1,1,2,1,1,121,1,1,1,4,4,1,10,3,20,8,2,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,3,8,NA,NA,NA,NA,NA,1,3,1,12
1990,63,5,4,1,1,2,2,1,2,4,2,1,1,2,0,0,113,1,1,1,4,4,1,10,2,230,4,1,NA,NA,NA,NA,NA,2,30,5,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,1,1,12
1990,25,2,2,1,1,2,2,2,2,3,5,1,1,2,0,1,124,1,1,1,1,1,3,10,5,230,9,1,NA,NA,NA,NA,1,NA,25,1,2,4,5,4,4,2,4,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,4,3,3,3,3,3,2,81
1990,59,5,4,1,3,2,1,4,2,3,3,1,1,2,7,0,145,1,1,3,4,4,1,10,3,NA,10,2,NA,NA,NA,NA,NA,NA,45,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,5,3,1,85
1990,26,2,2,2,1,3,2,2,2,2,6,7,4,2,1,3,124,1,2,1,NA,NA,NA,70,6,292,NA,1,NA,NA,NA,NA,1,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,2,8,NA,NA,NA,NA,NA,5,2,2,81
1990,55,5,4,2,1,2,3,1,2,3,2,1,1,1,7,0,102,1,NA,3,1,1,3,10,2,NA,5,1,NA,NA,NA,NA,1,NA,39,1,4,1,3,3,5,3,2,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,1,2,2,3,3,3,2,85
1990,54,4,4,1,1,2,3,1,2,3,3,1,1,1,3,0,113,1,1,5,1,1,3,10,3,400,10,1,NA,NA,NA,NA,2,NA,90,4,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,2,1,85
1990,53,4,4,2,1,2,3,3,1,4,3,1,1,2,1,0,154,1,1,1,1,1,4,10,3,135,10,1,NA,NA,NA,NA,1,1,2,1,5,3,2,4,2,2,3,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,8,2,2,3,3,3,1,12
1990,29,2,2,1,1,2,3,3,1,NA,1,1,1,2,1,4,154,1,1,1,1,1,4,10,1,182,1,2,NA,NA,NA,NA,NA,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,NA,0,2,NA,NA,NA,NA,NA,1,3,1,12
1990,43,3,3,2,1,3,2,4,2,2,1,5,3,2,7,0,136,5,1,3,4,4,1,50,1,NA,3,1,NA,NA,NA,NA,1,NA,10,3,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,2,2,NA,NA,NA,NA,NA,1,3,2,85
1990,37,3,3,1,2,3,2,4,2,4,3,1,1,1,1,0,171,1,1,2,1,1,3,10,3,149,10,1,NA,NA,NA,NA,NA,NA,0,1,2,1,4,2,3,4,3,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,3,3,3,3,3,3,1,85
1990,26,2,2,2,1,4,3,4,2,4,3,1,1,1,7,0,171,1,2,7,4,4,1,10,3,NA,8,2,NA,NA,NA,NA,NA,NA,5,1,2,3,2,4,4,4,2,NA,2,NA,NA,4,2,2,2,5,NA,7,8,NA,1,3,5,3,3,2,2,85
1990,45,4,3,2,1,3,3,4,2,5,2,1,1,2,0,1,136,1,1,7,6,6,1,10,2,270,4,2,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,1,NA,7,8,NA,NA,NA,NA,NA,1,3,1,85
1990,44,3,3,1,5,4,2,3,1,4,2,1,1,2,0,2,149,5,1,1,4,4,1,10,2,230,4,1,NA,NA,NA,NA,NA,NA,36,2,1,1,1,4,4,4,3,NA,2,NA,NA,7,2,2,2,1,NA,7,2,NA,2,2,3,4,5,3,2,21
1990,34,2,3,1,5,4,1,3,1,3,1,1,1,2,1,2,149,5,2,1,1,1,3,18,1,20,2,1,NA,NA,NA,NA,1,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,3,4,NA,NA,NA,NA,NA,3,1,2,21
1990,57,5,4,2,1,4,2,4,2,4,1,5,3,1,1,0,131,1,1,1,4,4,1,50,1,292,2,1,NA,NA,NA,NA,1,NA,27,4,4,1,1,2,2,2,2,NA,2,NA,NA,1,1,1,2,1,NA,3,2,NA,2,1,2,4,5,1,2,85
1990,28,2,2,1,1,2,2,4,2,4,3,2,2,1,3,0,171,1,1,1,4,4,1,20,3,400,10,1,NA,NA,NA,NA,2,NA,12,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,5,2,2,85
1990,29,2,2,1,2,3,1,4,2,2,1,1,1,1,1,1,171,1,1,4,4,4,1,10,1,99,1,1,NA,NA,NA,NA,1,NA,90,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,1,2,1,85
1990,74,6,5,1,1,2,3,2,2,3,1,5,3,2,0,0,123,5,1,1,4,4,1,50,1,220,1,1,NA,NA,NA,NA,1,1,2,1,1,1,2,2,2,2,3,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,1,2,4,2,1,2,2,12
1990,56,5,4,2,2,3,1,3,1,1,3,1,1,2,1,0,141,1,1,3,1,1,4,10,3,135,6,1,NA,NA,NA,NA,1,1,50,4,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,1,2,NA,NA,NA,NA,NA,1,8,1,12
1990,41,3,3,2,1,2,2,3,1,3,2,1,1,2,1,0,141,1,1,1,1,1,3,10,2,135,5,2,NA,NA,NA,NA,NA,NA,12,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,3,3,1,12
1990,21,1,2,2,1,2,3,3,1,1,2,1,1,2,7,1,147,1,2,2,1,1,4,10,2,NA,5,2,NA,NA,NA,NA,NA,NA,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,3,8,NA,NA,NA,NA,NA,3,2,1,21
1990,81,7,6,2,1,1,1,1,2,2,3,5,3,2,3,0,351,5,2,5,4,4,1,50,3,400,11,1,NA,NA,NA,NA,1,NA,79,3,0,2,2,1,2,1,2,NA,1,NA,NA,7,2,2,2,5,NA,5,8,NA,4,1,1,5,3,2,1,81
1990,74,6,5,2,1,4,1,1,2,2,1,5,3,2,3,0,103,5,2,2,4,4,1,50,1,400,2,1,NA,NA,NA,NA,1,NA,12,3,5,1,5,1,5,5,2,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,2,5,4,1,3,2,8,81
1990,29,2,2,1,1,2,2,1,2,4,1,1,1,2,3,2,112,1,2,1,4,4,1,10,1,400,2,1,NA,NA,NA,NA,2,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,5,2,NA,NA,NA,NA,NA,3,2,2,65
1990,65,6,5,2,1,2,2,1,2,1,2,5,3,2,0,0,113,5,1,1,3,3,3,50,2,230,5,1,NA,NA,NA,NA,2,2,30,5,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,3,2,2,65
1990,33,2,3,2,1,2,3,2,2,3,3,1,1,2,0,2,137,1,2,1,1,1,3,10,3,230,8,2,NA,NA,NA,NA,NA,NA,3,1,5,1,1,1,2,1,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,4,NA,4,1,2,3,1,2,1,21
1990,68,6,5,2,1,3,3,2,2,3,2,5,3,2,0,0,132,1,1,1,4,4,1,50,2,290,5,1,NA,NA,NA,NA,2,2,90,4,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,5,NA,7,2,NA,NA,NA,NA,NA,1,3,2,21
1990,64,5,4,1,1,4,3,2,2,3,5,1,1,2,0,0,132,1,1,1,1,1,3,10,5,220,9,2,NA,NA,NA,NA,NA,NA,90,5,2,4,1,3,2,2,4,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,2,4,4,3,3,3,2,21
1990,20,1,2,1,1,2,3,3,1,3,3,2,2,2,0,1,154,1,1,1,1,1,3,20,3,230,10,2,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,2,8,NA,NA,NA,NA,NA,1,2,1,12
1990,76,7,5,2,2,1,3,3,1,1,3,5,3,2,2,0,154,1,2,5,1,1,3,50,3,257,6,2,NA,NA,NA,NA,NA,NA,33,4,2,1,4,2,1,2,1,NA,3,NA,NA,7,2,2,2,5,NA,7,8,NA,1,2,4,4,3,3,1,12
1990,30,2,2,2,2,2,3,3,1,3,3,2,2,2,1,2,154,1,2,4,4,4,2,20,3,149,11,2,NA,NA,NA,NA,NA,NA,90,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,2,1,12
1990,29,2,2,2,2,2,3,3,1,1,3,1,1,2,0,2,154,1,2,1,1,1,3,10,3,150,11,2,NA,NA,NA,NA,NA,NA,90,3,5,1,5,1,5,5,1,NA,1,NA,NA,7,2,2,2,5,NA,5,8,NA,2,2,4,3,1,2,1,12
1990,28,2,2,1,1,4,2,2,2,4,2,1,1,2,3,0,122,1,1,2,6,6,1,10,2,400,5,1,NA,NA,NA,NA,2,2,28,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,3,2,NA,NA,NA,NA,NA,5,2,2,21
1990,30,2,2,2,1,3,2,2,2,4,6,7,4,2,0,1,122,1,1,1,4,4,1,70,1,230,NA,1,NA,NA,NA,NA,1,2,31,2,2,1,5,2,5,5,1,NA,2,NA,NA,7,2,2,2,5,NA,5,2,NA,1,4,4,3,3,2,2,21
1990,47,4,3,2,1,3,3,3,1,4,2,1,1,2,1,1,147,1,1,1,4,4,2,10,2,135,5,1,NA,NA,NA,NA,2,1,90,4,4,4,2,2,2,2,4,NA,1,NA,NA,1,1,1,2,5,NA,7,8,NA,2,2,2,2,5,3,1,21
1990,38,3,3,2,2,4,3,3,1,3,3,1,1,2,2,1,147,1,1,4,1,1,4,10,3,231,10,2,NA,NA,NA,NA,NA,NA,4,1,5,1,4,1,5,5,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,2,4,2,1,1,3,1,21
1990,80,7,5,2,2,2,3,3,1,NA,1,5,3,2,1,0,147,1,1,5,4,4,1,50,1,135,1,1,NA,NA,NA,NA,1,1,70,3,4,1,5,5,5,1,2,NA,1,NA,NA,7,2,2,2,5,NA,7,4,NA,2,1,2,1,1,3,1,21
1990,28,2,2,2,2,2,3,3,1,2,3,2,2,2,1,2,147,1,2,2,1,1,3,20,3,120,11,2,NA,NA,NA,NA,NA,NA,90,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,21
1990,69,6,5,2,1,2,2,2,2,1,2,5,3,1,1,0,134,NA,2,5,4,4,1,50,2,135,5,2,NA,NA,NA,NA,NA,NA,35,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,82
1990,36,3,3,1,1,4,2,3,2,4,1,1,1,2,0,0,152,1,1,3,6,6,1,10,1,270,1,1,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,81
1990,31,2,2,1,1,2,2,3,2,NA,4,1,1,1,3,1,152,1,2,7,3,3,3,10,4,400,13,2,NA,NA,NA,NA,NA,NA,7,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,2,2,NA,NA,NA,NA,NA,1,2,1,81
1990,47,4,3,1,1,4,2,3,2,NA,1,1,1,2,0,0,156,1,1,1,1,1,4,10,1,230,1,1,NA,NA,NA,NA,1,1,10,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,0,2,NA,NA,NA,NA,NA,3,2,2,12
1990,38,3,3,1,2,3,2,3,2,3,3,1,1,2,1,3,114,1,1,1,1,1,4,10,3,304,12,2,NA,NA,NA,NA,NA,NA,13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,8,8,8,12
1990,34,2,3,1,1,2,3,3,1,4,3,1,1,2,1,2,144,1,1,1,3,3,3,10,3,135,10,2,NA,NA,NA,NA,NA,NA,34,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,3,1,14
1990,37,3,3,2,2,2,3,3,1,1,3,1,1,2,1,2,142,1,2,2,1,1,3,10,3,10,11,1,NA,NA,NA,NA,1,NA,90,4,1,1,4,1,4,4,1,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,1,5,5,1,8,3,1,14
1990,47,4,3,2,2,4,3,3,1,3,1,1,1,1,1,2,142,1,2,4,1,1,3,10,1,135,2,1,NA,NA,NA,NA,1,NA,30,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,2,1,14
1990,34,2,3,2,1,3,3,2,2,3,3,1,1,2,1,3,132,1,1,1,4,4,1,10,3,280,8,2,NA,NA,NA,NA,NA,NA,90,3,2,1,1,2,4,1,2,NA,2,NA,NA,7,2,2,2,5,NA,7,4,NA,4,1,2,4,5,3,2,21
1990,22,1,2,1,1,4,3,2,2,1,3,1,1,2,1,0,132,1,2,2,1,1,3,10,3,221,8,2,NA,NA,NA,NA,NA,NA,90,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,3,3,2,21
1990,26,2,2,1,1,3,2,4,2,4,1,1,1,2,7,0,172,1,2,3,1,1,3,10,1,NA,3,2,NA,NA,NA,NA,NA,NA,10,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,1,NA,5,4,NA,NA,NA,NA,NA,1,3,1,21
1990,65,6,5,2,1,2,2,4,2,2,3,1,1,2,7,0,162,1,1,2,1,1,4,10,3,NA,8,1,NA,NA,NA,NA,1,2,46,3,0,1,2,4,3,2,3,NA,1,NA,NA,7,2,2,2,5,NA,5,8,NA,3,2,2,3,3,3,1,21
1990,38,3,3,2,1,3,2,3,2,3,2,1,1,2,7,0,152,1,1,3,1,1,3,10,2,NA,5,2,NA,NA,NA,NA,NA,NA,15,3,1,1,5,1,1,5,1,NA,NA,NA,NA,7,2,2,2,5,NA,2,8,NA,5,1,1,4,1,1,1,81
1990,43,3,3,1,1,3,2,3,2,4,3,1,1,2,4,0,152,1,1,1,4,4,1,10,3,502,10,1,NA,NA,NA,NA,1,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,1,1,NA,7,2,NA,NA,NA,NA,NA,5,2,1,81
1990,38,3,3,2,1,4,2,4,2,3,1,1,1,2,0,0,152,1,1,2,4,4,2,18,1,110,2,2,NA,NA,NA,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,5,8,NA,NA,NA,NA,NA,3,3,2,65
1990,26,2,2,1,1,2,2,4,2,3,3,1,1,2,0,0,162,1,2,2,1,1,3,10,3,20,11,2,NA,NA,NA,NA,NA,NA,0,1,2,2,4,3,4,3,4,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,2,3,3,4,5,1,3,65
1990,30,2,2,2,5,2,3,4,2,1,2,6,2,2,3,4,168,1,2,2,4,4,1,60,2,400,4,2,NA,NA,NA,NA,NA,NA,90,1,2,1,2,1,4,4,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,2,2,2,5,1,2,1,21
1990,68,6,5,1,1,1,3,4,2,2,3,6,2,2,1,1,114,1,2,4,1,1,3,60,3,269,10,2,NA,NA,NA,NA,NA,NA,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,21
1990,74,6,5,2,1,3,3,2,2,3,3,5,3,2,0,0,132,5,1,1,1,1,3,50,3,270,8,1,NA,NA,NA,NA,2,2,90,5,2,2,4,4,3,4,4,NA,2,NA,NA,3,1,1,1,1,NA,7,2,NA,4,2,2,4,3,3,2,21
1990,49,4,4,1,1,2,3,2,2,4,3,1,1,2,0,1,132,1,1,1,3,3,3,10,3,230,10,1,NA,NA,NA,NA,1,1,36,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,0,2,NA,NA,NA,NA,NA,1,1,2,21
1990,56,5,4,2,5,2,3,4,2,1,3,2,2,2,3,0,162,1,1,5,1,1,4,20,3,400,8,2,NA,NA,NA,NA,NA,NA,22,3,2,2,4,1,2,2,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,2,1,2,1,1,3,1,21
1990,21,1,2,2,4,3,3,4,2,1,2,1,1,2,7,1,171,NA,2,2,1,1,4,17,2,NA,4,2,NA,NA,NA,NA,NA,NA,0,1,2,1,5,2,4,5,2,NA,NA,NA,NA,7,2,2,2,5,NA,0,4,NA,5,1,1,4,3,3,1,21
1990,29,2,2,1,1,3,1,2,2,4,3,1,1,2,7,0,147,1,2,1,4,4,1,10,3,NA,10,1,NA,NA,NA,NA,2,NA,5,2,2,2,4,3,4,3,1,NA,1,NA,NA,7,2,2,2,5,NA,1,2,NA,2,3,3,3,3,1,2,82
1990,62,5,4,1,1,2,2,2,2,3,3,1,1,1,0,0,124,5,1,1,1,1,3,15,3,230,12,2,NA,NA,NA,NA,NA,NA,52,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,2,2,81
1990,25,2,2,1,1,2,3,3,2,4,3,1,1,2,7,2,156,1,1,1,3,3,3,10,3,NA,10,2,NA,NA,NA,NA,NA,NA,25,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,3,1,12
1990,34,2,3,1,1,3,3,4,2,3,3,4,2,2,7,1,131,1,1,1,1,1,3,40,3,NA,12,1,NA,NA,NA,NA,1,1,10,1,5,1,1,1,4,3,2,NA,2,NA,NA,5,1,NA,NA,1,NA,7,2,NA,2,2,2,3,5,2,2,21
1990,40,3,3,2,5,2,3,4,2,3,3,4,2,2,0,1,166,1,1,1,NA,NA,NA,40,3,270,8,2,NA,NA,NA,NA,NA,NA,23,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,NA,7,2,NA,NA,NA,NA,NA,5,2,1,21
1990,56,5,4,2,1,NA,2,2,2,3,6,7,4,2,1,1,122,1,1,1,4,4,1,71,1,221,1,1,NA,NA,NA,NA,1,2,90,4,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,5,NA,3,2,NA,NA,NA,NA,NA,3,3,2,21
1990,38,3,3,1,1,2,2,2,2,3,3,1,1,1,7,2,122,1,1,1,1,1,3,10,3,NA,11,2,NA,NA,NA,NA,NA,NA,90,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,NA,7,2,NA,NA,NA,NA,NA,5,2,1,21
1990,47,4,3,2,1,3,2,2,2,4,1,1,1,1,7,0,123,1,1,5,4,4,1,17,1,NA,3,1,NA,NA,NA,NA,2,1,10,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,3,2,NA,NA,NA,NA,NA,1,3,1,12
1990,73,6,5,2,1,1,2,2,2,NA,6,7,4,2,0,0,124,1,1,5,4,4,2,70,6,99,NA,1,NA,NA,NA,NA,1,1,53,5,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,2,1,12
1990,64,5,4,2,1,2,2,2,2,NA,2,5,3,2,1,0,123,1,1,2,1,1,3,51,2,126,4,2,NA,NA,NA,NA,NA,NA,35,5,5,4,1,4,3,2,5,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,1,1,2,4,3,2,1,12
1990,35,3,3,2,1,2,2,2,2,4,3,1,1,1,1,3,123,5,1,1,1,1,4,10,3,149,11,1,NA,NA,NA,NA,NA,1,16,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,2,8,NA,NA,NA,NA,NA,3,2,1,12
1990,37,3,3,2,3,3,2,1,2,2,3,4,2,2,7,0,114,5,2,2,1,1,3,40,3,NA,8,2,NA,NA,NA,NA,NA,NA,19,1,5,1,3,3,2,2,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,5,1,1,5,1,3,2,12
1990,25,2,2,1,1,3,1,1,2,3,3,1,1,1,3,0,112,1,1,2,1,1,3,10,3,400,7,2,NA,NA,NA,NA,NA,NA,26,4,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,3,8,NA,NA,NA,NA,NA,5,2,1,12
1990,36,3,3,2,1,2,3,3,1,4,2,1,1,2,1,3,315,1,1,1,6,6,2,17,2,251,5,2,NA,NA,NA,NA,NA,NA,15,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,3,1,24
1990,20,1,2,1,1,1,3,3,1,3,3,1,1,2,7,1,140,1,2,2,4,4,2,10,3,NA,10,2,NA,NA,NA,NA,NA,NA,0,1,2,2,2,4,2,2,3,NA,NA,NA,NA,7,2,2,2,5,NA,2,8,NA,4,2,2,4,3,2,2,24
1990,75,7,5,2,1,2,3,2,2,1,2,5,3,2,3,0,125,1,1,1,4,4,1,50,2,400,4,2,NA,NA,NA,NA,NA,NA,90,4,2,2,3,1,2,2,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,2,1,1,2,3,3,1,85
1990,44,3,3,2,1,2,3,2,2,3,2,1,1,2,0,0,122,1,1,1,1,1,4,10,2,99,4,1,NA,NA,NA,NA,1,NA,12,3,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,3,8,NA,NA,NA,NA,NA,3,2,1,81
1990,45,4,3,2,4,2,1,3,1,1,3,4,2,2,1,1,173,1,2,3,1,1,3,40,3,135,8,2,NA,NA,NA,NA,NA,NA,0,1,5,1,1,2,3,1,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,5,2,2,3,3,2,1,12
1990,28,2,2,1,1,2,1,3,1,1,3,1,1,2,7,3,154,1,2,1,1,1,4,10,3,NA,10,2,NA,NA,NA,NA,NA,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,4,2,NA,NA,NA,NA,NA,5,1,1,12
1990,27,2,2,1,1,3,3,4,2,3,3,1,1,2,NA,0,171,1,2,2,1,1,3,10,3,NA,10,1,NA,NA,NA,NA,NA,NA,5,1,4,1,2,4,5,4,4,NA,NA,NA,NA,2,1,2,1,5,NA,0,8,NA,4,2,2,3,1,2,2,85
1990,29,2,2,1,1,2,2,1,2,4,3,1,1,1,3,3,113,5,2,7,4,4,1,10,3,400,7,2,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,1,1,65
1990,35,3,3,1,1,4,1,3,1,5,1,1,1,2,0,2,140,1,1,3,4,4,1,10,1,155,2,2,NA,NA,NA,NA,NA,NA,11,2,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,0,2,NA,NA,NA,NA,NA,1,3,2,24
